"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"nome_key";"BENS_TOTAL";"TOTAL_VOTOS";"DS_SIT_TOT_TURNO";"Nome.candidato";"RECEITA_TOTAL";"FONTE_RECEITA";"ORIGEM_RECEITA"
250000027283;"DALILA CAMARGO";"#NULO#";"PRP";"FEMININO";"LÊ E ESCREVE";"DIVORCIADO(A)";"BRANCA";"REPRESENTANTE COMERCIAL";"APTO";"N";"DALILA CAMARGO";NA;160;"NÃO ELEITO";NA;NA;NA;NA
250000020827;"ELIZABETE MICHELETE";"#NULO#";"PSD";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"MÉDICO";"APTO";"N";"ELIZABETE MICHELETE";2473295,28;3165;"SUPLENTE";"ELIZABETE MICHELETE";363162,21;"Fundo Partidario, Outros Recursos";"Recursos de partido político, Recursos de pessoas físicas"
250000008340;"MARCOS ANTONIO PINTO";"#NULO#";"PRB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"COMERCIANTE";"APTO";"N";"MARCOS ANTONIO PINTO";77000;719;"SUPLENTE";"MARCOS ANTONIO PINTO";8676,97;"Outros Recursos, Fundo Partidario";"Recursos próprios, Recursos de outros candidatos, Recursos de partido político"
250000005799;"LUIZ AUGUSTO MÓDOLO DE PAULA";"#NULO#";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SERVIDOR PÚBLICO MUNICIPAL";"APTO";"N";"LUIZ AUGUSTO MÓDOLO DE PAULA";869281;1350;"SUPLENTE";"LUIZ AUGUSTO MÓDOLO DE PAULA";9608,7;"Outros Recursos";"Recursos de origens não identificadas, Recursos próprios, Recursos de pessoas físicas"
250000058385;"ROBERTO RODRIGUES RIBEIRO";"#NULO#";"PTN";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"FARMACÊUTICO";"APTO";"N";"ROBERTO RODRIGUES RIBEIRO";75674;2740;"SUPLENTE";"ROBERTO RODRIGUES RIBEIRO";7000;"Outros Recursos";"Recursos próprios"
250000058416;"FRANCISCO CARLOS DA SILVA";"#NULO#";"PTN";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"ANALISTA DE SISTEMAS";"APTO";"N";"FRANCISCO CARLOS DA SILVA";640000;5282;"SUPLENTE";"FRANCISCO CARLOS DA SILVA";36646,7;"Outros Recursos, Fundo Partidario";"Recursos de outros candidatos, Recursos próprios, Recursos de partido político, Recursos de pessoas físicas"
250000027307;"ALCIDES JOSE PEREIRA";"#NULO#";"PTC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"PRETA";"FRENTISTA";"APTO";"N";"ALCIDES JOSE PEREIRA";135000;326;"NÃO ELEITO";NA;NA;NA;NA
250000019136;"MARCO ANTONIO RICCIARDELLI";"#NULO#";"PTB";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"BRANCA";"ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS";"APTO";"N";"MARCO ANTONIO RICCIARDELLI";940774,69;5114;"SUPLENTE";"MARCO ANTONIO RICCIARDELLI";41665;"Outros Recursos, Fundo Partidario";"Recursos de partido político, Recursos próprios, Recursos de outros candidatos"
250000050150;"JESSICA ALINE CARDOSO";"#NULO#";"PSL";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PRETA";"ADMINISTRADOR";"APTO";"N";"JESSICA ALINE CARDOSO";NA;880;"NÃO ELEITO";NA;NA;NA;NA
250000050147;"ANTONIO BARBOSA LIMA";"#NULO#";"PSL";"MASCULINO";"LÊ E ESCREVE";"CASADO(A)";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"APTO";"N";"ANTONIO BARBOSA LIMA";9250;179;"NÃO ELEITO";NA;NA;NA;NA
250000058361;"ALCIDES DIAS LIMA";"#NULO#";"PTN";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"ADVOGADO";"APTO";"N";"ALCIDES DIAS LIMA";7000;694;"SUPLENTE";NA;NA;NA;NA
250000005810;"NAOMY SCHOLLING";"#NULO#";"NOVO";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS";"APTO";"N";"NAOMY SCHOLLING";406634,25;1557;"SUPLENTE";"NAOMY SCHOLLING";12259,5;"Outros Recursos";"Recursos próprios, Recursos de pessoas físicas"
250000019157;"THAIS HELENA COSTA";"#NULO#";"PTB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"APTO";"N";"THAIS HELENA COSTA";1095429,98;1379;"SUPLENTE";"THAIS HELENA COSTA";11328;"Outros Recursos, Fundo Partidario";"Recursos de partido político, Recursos próprios, Recursos de pessoas físicas, Recursos de outros candidatos"
250000015100;"TEREZA MIGUEL MENEGUIM";"#NULO#";"REDE";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"MÚSICO";"APTO";"N";"TEREZA MIGUEL MENEGUIM";223000;317;"NÃO ELEITO";"TEREZA MIGUEL MENEGUIM";1700;"Outros Recursos";"Recursos de pessoas físicas"
250000038331;"FLAVIO CERINO";"#NULO#";"PSDC";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"APTO";"N";"FLAVIO CERINO";98000;173;"NÃO ELEITO";"FLAVIO CERINO";3239,53;"Outros Recursos, Fundo Partidario";"Recursos próprios, Recursos de partido político"
250000040596;"ANA MARIA CAMPOS DA TRINDADE";"#NULO#";"SD";"FEMININO";"ENSINO MÉDIO INCOMPLETO";"VIÚVO(A)";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"APTO";"N";"ANA MARIA CAMPOS DA TRINDADE";NA;816;"NÃO ELEITO";"ANA MARIA CAMPOS DA TRINDADE";11512,99;"Fundo Partidario, Outros Recursos";"Recursos de partido político, Recursos de pessoas físicas"
250000040583;"MARCOS ROBERTO DE BRITO";"#NULO#";"SD";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";"MARCOS ROBERTO DE BRITO";NA;62;"NÃO ELEITO";NA;NA;NA;NA
250000014866;"EDNALDO BISPO DA CRUZ";"#NULO#";"PSOL";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";"N";"EDNALDO BISPO DA CRUZ";13000;198;"SUPLENTE";NA;NA;NA;NA
250000004986;"PATRICIA GAMA DE QUADROS BEZERRA";"#NULO#";"PSDB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"PSICÓLOGO";"APTO";"S";"PATRICIA GAMA DE QUADROS BEZERRA";349199,73;45285;"ELEITO POR QP";"PATRICIA GAMA DE QUADROS BEZERRA";373262,04;"Outros Recursos, Fundo Partidario";"Recursos de outros candidatos, Recursos próprios, Recursos de pessoas físicas, Recursos de partido político"
250000005809;"FERNANDO DE ALMEIDA GALDINO";"#NULO#";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ANALISTA DE SISTEMAS";"APTO";"N";"FERNANDO DE ALMEIDA GALDINO";242374,53;182;"SUPLENTE";"FERNANDO DE ALMEIDA GALDINO";2500,39;"Outros Recursos";"Recursos de origens não identificadas, Recursos próprios"
250000019158;"MARIA TERESA DA SILVA LATTARI";"#NULO#";"PTB";"FEMININO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PARDA";"SERVIDOR PÚBLICO ESTADUAL";"APTO";"N";"MARIA TERESA DA SILVA LATTARI";NA;145;"SUPLENTE";NA;NA;NA;NA
250000019180;"ANTONIO WILSON LUCENA";"#NULO#";"PTB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";"N";"ANTONIO WILSON LUCENA";411125,62;380;"SUPLENTE";NA;NA;NA;NA
250000058349;"DORA MARIA MACHADO";"#NULO#";"PTN";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"OUTROS";"APTO";"N";"DORA MARIA MACHADO";NA;116;"SUPLENTE";NA;NA;NA;NA
250000019151;"LUIS ANTONIO FERREIRA MARCOS";"#NULO#";"PTB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"COMERCIANTE";"APTO";"N";"LUIS ANTONIO FERREIRA MARCOS";868775;626;"SUPLENTE";NA;NA;NA;NA
250000005790;"ROSANA SANTAROSA";"#NULO#";"NOVO";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ENGENHEIRO";"APTO";"N";"ROSANA SANTAROSA";775803,94;1371;"SUPLENTE";"ROSANA SANTAROSA";8626,38;"Outros Recursos";"Recursos de origens não identificadas, Recursos próprios, Recursos de partido político, Recursos de pessoas físicas"
250000008371;"EDVALDO JONAS DA SILVA";"#NULO#";"PSC";"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"BRANCA";"MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS";"APTO";"N";"EDVALDO JONAS DA SILVA";18000;1170;"SUPLENTE";NA;NA;NA;NA
250000005017;"VANESSA ORSINI";"#NULO#";"PSDB";"FEMININO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"FOTÓGRAFO E ASSEMELHADOS";"APTO";"N";"VANESSA ORSINI";NA;385;"SUPLENTE";NA;NA;NA;NA
250000058399;"NOEMIA VIEIRA FONSECA";"#NULO#";"PTN";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"ADVOGADO";"APTO";"N";"NOEMIA VIEIRA FONSECA";185000;970;"SUPLENTE";"NOEMIA VIEIRA FONSECA";142,2;"Outros Recursos";"Recursos de outros candidatos"
250000027337;"ISMAEL BELO DA SILVA";"#NULO#";"PT do B";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";"N";"ISMAEL BELO DA SILVA";NA;127;"NÃO ELEITO";NA;NA;NA;NA
250000006193;"KELLY GUILHERME ANDRADE TAVARES";"#NULO#";"PC do B";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";"N";"KELLY GUILHERME ANDRADE TAVARES";NA;15;"NÃO ELEITO";NA;NA;NA;NA
250000011696;"MARIA DO CARMO SILVA";"#NULO#";"PV";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"APTO";"N";"MARIA DO CARMO SILVA";NA;70;"SUPLENTE";NA;NA;NA;NA
250000058355;"MARIA OLIVIA TRINDADE";"#NULO#";"PTN";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"OUTROS";"APTO";"N";"MARIA OLIVIA TRINDADE";NA;385;"SUPLENTE";NA;NA;NA;NA
250000022126;"ROBSON GUTEMBERG RIBEIRO DA SILVA";"#NULO#";"PR";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SERVIDOR PÚBLICO ESTADUAL";"APTO";"N";"ROBSON GUTEMBERG RIBEIRO DA SILVA";403000;612;"SUPLENTE";NA;NA;NA;NA
250000006145;"RAIMUNDO FERREIRA BARROS";"#NULO#";"PC do B";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";"RAIMUNDO FERREIRA BARROS";20000;751;"NÃO ELEITO";NA;NA;NA;NA
250000062812;"ROGERIO LANZOTI JUNIOR";"#NULO#";"PATRIOTA";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";"N";"ROGERIO LANZOTI JUNIOR";364353;665;"NÃO ELEITO";NA;NA;NA;NA
250000050205;"MARIA APARECIDA DA SILVA DOS SANTOS";"#NULO#";"PSL";"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"COMERCIANTE";"APTO";"N";"MARIA APARECIDA DA SILVA DOS SANTOS";8000;720;"NÃO ELEITO";NA;NA;NA;NA
250000013971;"YURI GAMA COSTA";"#NULO#";"PRTB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";"N";"YURI GAMA COSTA";45000;684;"NÃO ELEITO";NA;NA;NA;NA
250000008312;"EDILAINE PIRES";"#NULO#";"PRB";"FEMININO";"SUPERIOR INCOMPLETO";"DIVORCIADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";"EDILAINE PIRES";469407,73;3921;"SUPLENTE";"EDILAINE PIRES";9730;"Outros Recursos";"Recursos de pessoas físicas, Recursos de partido político"
250000044428;"EDINALDO ALENCAR DE FRANÇA";"#NULO#";"PPL";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS";"APTO";"N";"EDINALDO ALENCAR DE FRANÇA";2100;279;"NÃO ELEITO";NA;NA;NA;NA
250000008363;"LUIZ CARLOS DA SILVA";"#NULO#";"PRB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";"LUIZ CARLOS DA SILVA";156484,76;1168;"SUPLENTE";"LUIZ CARLOS DA SILVA";12770,11;"Fundo Partidario, Outros Recursos";"Recursos de partido político, Recursos próprios, Recursos de pessoas físicas"
250000020849;"PAOLA ROSA ESTEVAO";"#NULO#";"PSD";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ENGENHEIRO";"APTO";"N";"PAOLA ROSA ESTEVAO";NA;487;"SUPLENTE";"PAOLA ROSA ESTEVAO";11000;"Outros Recursos, Fundo Partidario";"Recursos de pessoas físicas, Recursos de partido político"
250000022115;"DARCIO DE OLIVEIRA";"#NULO#";"PR";"MASCULINO";"SUPERIOR COMPLETO";"SEPARADO(A) JUDICIALMENTE";"BRANCA";"ADVOGADO";"APTO";"N";"DARCIO DE OLIVEIRA";1030;204;"SUPLENTE";"DARCIO DE OLIVEIRA";17259,91;"Outros Recursos, Fundo Partidario";"Recursos de partido político, Recursos próprios, Recursos de outros candidatos, Recursos de pessoas físicas"
250000038332;"ISMAEL VICENTE DA SILVA";"#NULO#";"PSDC";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"JORNALISTA E REDATOR";"APTO";"N";"ISMAEL VICENTE DA SILVA";NA;72;"NÃO ELEITO";NA;NA;NA;NA
250000062793;"CARLOS CEZAR COUTINHO";"#NULO#";"PATRIOTA";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";"N";"CARLOS CEZAR COUTINHO";45000;1082;"NÃO ELEITO";NA;NA;NA;NA
250000005802;"JOANNA CAROLINA GUARITA DOUAT";"#NULO#";"NOVO";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADMINISTRADOR";"APTO";"N";"JOANNA CAROLINA GUARITA DOUAT";498633,31;5541;"SUPLENTE";"JOANNA CAROLINA GUARITA DOUAT";31800;"Outros Recursos";"Recursos próprios, Recursos de pessoas físicas"
250000058382;"REGINA DOS SANTOS MENDES";"#NULO#";"PTN";"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"OUTROS";"APTO";"N";"REGINA DOS SANTOS MENDES";NA;244;"SUPLENTE";NA;NA;NA;NA
250000020808;"NOER PEREIRA DE MATOS";"#NULO#";"PMDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";"NOER PEREIRA DE MATOS";21000;878;"SUPLENTE";"NOER PEREIRA DE MATOS";350;"Outros Recursos";"Recursos próprios"
250000040571;"DANIEL FLORENTINO DA SILVA";"#NULO#";"SD";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"DIVORCIADO(A)";"PARDA";"EMPRESÁRIO";"APTO";"N";"DANIEL FLORENTINO DA SILVA";26150;473;"NÃO ELEITO";NA;NA;NA;NA
