"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"BENS_TOTAL";"TOTAL_VOTOS";"DS_SIT_TOT_TURNO";"RECEITA_TOTAL";"FONTE_RECEITA";"ORIGEM_RECEITA";"ST_REELEICAO"
250001265969;"VALTER ESTEVAM";"#NULO";"DC";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"OUTROS";"APTO";NA;134;"NÃO ELEITO";5057,1;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250001129691;"HAILTON ANJOS DOS SANTOS FILHO";"#NULO";"DC";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PRETA";"OUTROS";"APTO";NA;231;"NÃO ELEITO";5057,1;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250001129697;"SERGIO CASSAGNI";"#NULO";"DC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"GERENTE";"APTO";NA;451;"NÃO ELEITO";4444,05;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos próprios, Recursos de partido político";"N"
250001265959;"EGBERTO KUDO";"#NULO";"DC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"AMARELA";"EMPRESÁRIO";"APTO";NA;103;"NÃO ELEITO";3872,1;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250001265970;"LUCIANA CRISTINA MENDES SANTOS";"#NULO";"DC";"FEMININO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PARDA";"DONA DE CASA";"APTO";NA;317;"NÃO ELEITO";6360,33;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250001088416;"VINICIUS COSTA DE SOUZA";"#NULO";"MDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"BOMBEIRO CIVIL";"APTO";NA;388;"SUPLENTE";1000;"FUNDO PARTIDARIO";"Recursos de partido político";"N"
250001088449;"MARIO PALUMBO JUNIOR";"#NULO";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"POLICIAL CIVIL";"APTO";2347170,43;118395;"ELEITO POR QP";288360;"OUTROS RECURSOS";"Recursos de pessoas físicas";"N"
250001088462;"PATRICIA GOMES DA SILVA";"#NULO";"MDB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"PUBLICITÁRIO";"APTO";150000;273;"SUPLENTE";25628;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos próprios, Recursos de pessoas físicas";"N"
250001088460;"VIVIANE FERREIRA PROCOPIO";"#NULO";"MDB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"PSICÓLOGO";"APTO";NA;828;"SUPLENTE";45000;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250001088402;"PEDRO ORLANDO PETRERE JUNIOR";"#NULO";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ODONTÓLOGO";"APTO";250406,46;558;"SUPLENTE";0;"#NULO";"#NULO";"N"
250001088465;"DANIELA BORGES BARRETTO";"#NULO";"MDB";"FEMININO";"SUPERIOR COMPLETO";"SEPARADO(A) JUDICIALMENTE";"BRANCA";"PUBLICITÁRIO";"APTO";15539,95;386;"SUPLENTE";52340;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos de pessoas físicas";"N"
250001088443;"MARCO ANTONIO ZITO ALVARENGA";"#NULO";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"SERVIDOR PÚBLICO FEDERAL";"APTO";553088,92;487;"SUPLENTE";10600;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos próprios";"N"
250001088440;"SIDNEY DORING GUERRA";"#NULO";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"COMERCIANTE";"APTO";680627,89;4618;"SUPLENTE";75779;"OUTROS RECURSOS";"Recursos de pessoas físicas, Recursos próprios";"N"
250001088463;"CRISTIANE TRIGUEIRO DE OLIVEIRA";"#NULO";"MDB";"FEMININO";"SUPERIOR INCOMPLETO";"CASADO(A)";"BRANCA";"AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS";"APTO";NA;69;"SUPLENTE";10000;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250000651027;"ANTONIO EDUARDO DOS SANTOS";"#NULO";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"ADVOGADO";"APTO";567241,07;2528;"SUPLENTE";164023,39;"OUTROS RECURSOS, FUNDO ESPECIAL, FUNDO PARTIDARIO";"Recursos próprios, Recursos de pessoas físicas, Recursos de outros candidatos, Recursos de partido político";"N"
250000651038;"JANDIRA DE MENEZES CREPALDI";"#NULO";"DEM";"FEMININO";"SUPERIOR COMPLETO";"VIÚVO(A)";"PARDA";"PEDAGOGO";"APTO";920834,17;186;"SUPLENTE";109088,13;"FUNDO ESPECIAL, FUNDO PARTIDARIO, OUTROS RECURSOS";"Recursos de partido político, Recursos próprios";"N"
250000651020;"ANDRÉ BEZERRA RIBEIRO SOARES";"#NULO";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"EMPRESÁRIO";"APTO";560204,18;16425;"SUPLENTE";364123,63;"OUTROS RECURSOS, FUNDO ESPECIAL, FUNDO PARTIDARIO";"Recursos de pessoas físicas, Recursos de partido político";"N"
250000651010;"JOSÉ DE DEUS ALENCAR";"#NULO";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"ADVOGADO";"APTO";74000;1295;"SUPLENTE";112298,95;"OUTROS RECURSOS, FUNDO PARTIDARIO";"Recursos próprios, Recursos de pessoas físicas, Recursos de partido político";"N"
250000651043;"JOSE ROBERTO BARBOSA DE SOUZA";"#NULO";"DEM";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"POLICIAL MILITAR";"APTO";16372;4374;"SUPLENTE";250863,38;"OUTROS RECURSOS, FUNDO PARTIDARIO, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos de partido político";"N"
250000651046;"MARCELO ELIA CURY";"#NULO";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"JORNALISTA E REDATOR";"APTO";441154,09;965;"SUPLENTE";176290,13;"FUNDO PARTIDARIO, OUTROS RECURSOS";"Recursos de partido político, Recursos de pessoas físicas";"N"
250000651061;"HAIDEE ALVES DE AQUINO BAPTISTA";"#NULO";"DEM";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"PEDAGOGO";"APTO";3700;917;"SUPLENTE";189469,88;"OUTROS RECURSOS, FUNDO PARTIDARIO, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos próprios, Recursos de partido político";"N"
250000881949;"LUCAS PEREIRA CAVALCANTE DOS SANTOS";"#NULO";"PTB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ENGENHEIRO";"APTO";16000;53;"SUPLENTE";850;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250000881906;"IARA REGINA CORREA GUSMÃO";"#NULO";"PTB";"FEMININO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"COMERCIANTE";"APTO";NA;153;"SUPLENTE";20000;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250000881972;"ROWILSON FERNANDES DE CARVALHO JUNIOR";"#NULO";"PTB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"VIGILANTE";"APTO";NA;198;"SUPLENTE";0;"#NULO";"#NULO";"N"
250000881979;"JULIANA MOREIRA DOS SANTOS";"#NULO";"PTB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";NA;52;"SUPLENTE";5801,8;"FUNDO PARTIDARIO, OUTROS RECURSOS";"Recursos de partido político, Recursos próprios";"N"
250000881902;"ALBERTO RIBEIRO SILVA";"#NULO";"PTB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";2075000;2277;"SUPLENTE";7966;"OUTROS RECURSOS";"Recursos próprios";"N"
250000881923;"PAULO JORGE VALENTIM";"#NULO";"PTB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"MÉDICO";"APTO";679911,74;715;"SUPLENTE";1200;"OUTROS RECURSOS";"Recursos próprios";"N"
250000881922;"PATRICIA MAZZARIOLI DO NASCIMENTO PIVA";"#NULO";"PTB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ODONTÓLOGO";"APTO";336287,73;630;"SUPLENTE";20000;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250000881964;"MARCO AURELIO NUNES DOS SANTOS";"#NULO";"PTB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"ADVOGADO";"APTO";NA;2094;"SUPLENTE";78000;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250001054370;"JOSÉ OSCAR DIONÍZIO FARIAS";"#NULO";"PMN";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"CABELEIREIRO E BARBEIRO";"APTO";NA;394;"NÃO ELEITO";2021,95;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos próprios, Recursos de partido político";"N"
250001054368;"DANIEL DE SOUZA CAMPOS";"#NULO";"PMN";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";NA;78;"NÃO ELEITO";2000;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250001054374;"ARABELA DA LUZ COELHO";"#NULO";"PMN";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";NA;28;"NÃO ELEITO";2000;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250001181003;"MAURÍCIO SALAZAR AMORIN";"#NULO";"PCO";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"DESENHISTA";"APTO";NA;7;"NÃO ELEITO";1000;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250000753986;"BRENO PENNA FREIRE";"#NULO";"PSL";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"POLICIAL MILITAR";"APTO";NA;404;"SUPLENTE";3510,45;"OUTROS RECURSOS";"Recursos de pessoas físicas, Recursos próprios";"N"
250000754044;"MIGUEL AFFONSO COIMBRA NETO";"#NULO";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"POLICIAL MILITAR";"APTO";808150,21;1206;"SUPLENTE";93064;"OUTROS RECURSOS";"Recursos próprios";"N"
250001272880;"LUIZ DE SOUSA CHAGAS";"#NULO";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"ADVOGADO";"APTO";NA;1029;"SUPLENTE";7289;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos de outros candidatos, Recursos próprios";"N"
