"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"DS_SITUACAO_JULGAMENTO_URNA";"TOTAL_VOTOS";"DS_SIT_TOT_TURNO";"RECEITA_TOTAL";"FONTE_RECEITA";"ORIGEM_RECEITA";"BENS_TOTAL"
250002357439;"VAGNER COELHO DO NASCIMENTO";"#NULO";"DC";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"PARDA";"EMPRESÁRIO";"#NE";"N";"INDEFERIDO COM RECURSO";0;"NÃO ELEITO";6820,65;"FUNDO ESPECIAL";"Recursos de partido político";NA
250002181669;"APARECIDO BESERRA MONTEIRO";"#NULO";"PSDB";"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"CASADO(A)";"BRANCA";"JORNALISTA E REDATOR";"#NE";"N";"INDEFERIDO COM RECURSO";0;"NÃO ELEITO";1891,99;"OUTROS RECURSOS";"Recursos próprios";3000
250002029403;"GERSON DA CUNHA";"#NULO";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"#NE";"N";"INDEFERIDO COM RECURSO";0;"NÃO ELEITO";12349,17;"FUNDO ESPECIAL";"Recursos de partido político";30950
250002034125;"ALMIRANDO FERREIRA DO NASCIMENTO";"#NULO";"PSB";"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"DIVORCIADO(A)";"BRANCA";"OUTROS";"#NE";"N";"INDEFERIDO COM RECURSO";0;"NÃO ELEITO";1346,81;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos de outros candidatos";68,63
250002064663;"GUSTAVO UBATÃ ALVAREZ CORDEIRO DE MATOS";"#NULO";"UP";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"PARDA";"FERROVIÁRIO";"#NE";"N";"DEFERIDO";798;"NÃO ELEITO";13375;"FUNDO ESPECIAL";"Recursos de partido político";25000
250002357429;"APARECIDA SANTIAGO DE ARAUJO";"#NULO";"DC";"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"OUTROS";"#NE";"N";"DEFERIDO";1;"NÃO ELEITO";6820,65;"FUNDO ESPECIAL";"Recursos de partido político";NA
250002357443;"WILSON CAPUTO SANT ANNA";"#NULO";"DC";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"BOMBEIRO CIVIL";"#NE";"S";"DEFERIDO";183;"NÃO ELEITO";6820,65;"FUNDO ESPECIAL";"Recursos de partido político";NA
250002357425;"NATTAN FERREIRA DE LIMA";"#NULO";"DC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"COMERCIANTE";"#NE";"N";"DEFERIDO";78;"NÃO ELEITO";7421,65;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos de partido político";NA
250002075151;"WELLINGTON WAGNER DA SILVA";"#NULO";"PRD";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ASSISTENTE SOCIAL";"#NE";"N";"DEFERIDO";239;"NÃO ELEITO";35405,25;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos próprios";309321,59
250002075142;"VERUSKA GHENDOV";"#NULO";"PRD";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"PSICÓLOGO";"#NE";"N";"DEFERIDO";1916;"NÃO ELEITO";150000;"FUNDO ESPECIAL";"Recursos de partido político";1730000
